iter	Passed	Remaining
1066	768241	671760
1067	769090	671153
1068	769978	670579
1069	771038	670155
1070	771957	669606
1071	772789	668981
1072	773613	668349
1073	774471	667747
1074	775218	667048
1075	776071	666440
1076	776890	665803
1077	777762	665210
1078	778624	664609
1079	779459	663984
1080	780297	663361
1081	781161	662759
1082	781964	662106
1083	782898	661563
1084	783757	660956
1085	784606	660341
1086	785364	659648
1087	786272	659081
1088	787168	658503
1089	787973	657849
1090	788853	657257
1091	789704	656640
1092	790529	656002
1093	791319	655334
1094	792219	654756
1095	793163	654215
1096	793986	653573
1097	794866	652977
1098	795689	652335
1099	796483	651667
1100	797344	651055
1101	798349	650560
1102	799318	650034
1103	800089	649348
1104	801005	648778
1105	801799	648109
1106	802672	647503
1107	803521	646877
1108	804424	646296
1109	805359	645738
1110	806386	645254
1111	807264	644650
1112	808035	643959
1113	808929	643367
1114	809765	642728
1115	810622	642106
1116	811451	641460
1117	812253	640794
1118	813298	640317
1119	814326	639828
1120	815415	639384
1121	816326	638801
1122	817227	638208
1123	818006	637521
1124	819068	637053
1125	819923	636423
1126	820750	635772
1127	821751	635254
1128	822763	634744
1129	823588	634090
1130	824507	633507
1131	825370	632881
1132	826143	632185
1133	827037	631582
1134	827919	630969
1135	828755	630320
1136	829636	629706
1137	830551	629117
1138	831418	628490
1139	832248	627836
1140	833174	627254
1141	834067	626646
1142	834874	625973
1143	835718	625327
1144	836631	624733
1145	837474	624086
1146	838668	623700
1147	839541	623074
1148	840428	622458
1149	841323	621847
1150	842131	621172
1151	843003	620543
1152	843751	619824
1153	844670	619230
1154	845544	618601
1155	846216	617826
1156	847099	617203
1157	847884	616510
1158	848796	615908
1159	849617	615240
1160	850444	614576
1161	851310	613939
1162	852185	613309
1163	853068	612685
1164	853939	612051
1165	854808	611415
1166	855604	610727
1167	856358	610009
1168	857205	609356
1169	858082	608724
1170	858827	608000
1171	859711	607372
1172	860516	606690
1173	861233	605944
1174	862126	605322
1175	862950	604652
1176	863792	603994
1177	864579	603297
1178	865462	602667
1179	866322	602020
1180	867192	601380
1181	868036	600722
1182	868915	600087
1183	869666	599365
1184	870500	598698
1185	871381	598064
1186	872203	597389
1187	873065	596741
1188	873989	596135
1189	874952	595555
1190	875810	594904
1191	876640	594233
1192	877488	593573
1193	878251	592856
1194	879391	592393
1195	880399	591840
1196	881133	591103
1197	882025	590471
1198	882892	589822
1199	883682	589121
1200	884492	588434
1201	885504	587880
1202	886386	587240
1203	887254	586590
1204	888134	585947
1205	888962	585270
1206	889828	584618
1207	890631	583924
1208	891648	583369
1209	892862	582943
1210	893765	582312
1211	894898	581831
1212	896116	581404
1213	897205	580892
1214	898093	580249
1215	898930	579573
1216	900027	579064
1217	901095	578535
1218	902344	578122
1219	903235	577478
1220	904093	576812
1221	904987	576170
1222	905796	575473
1223	906656	574808
1224	907523	574147
1225	908375	573476
1226	909115	572735
1227	909915	572031
1228	910675	571302
1229	911538	570638
1230	912387	569964
1231	913219	569279
1232	914027	568580
1233	914867	567899
1234	915684	567205
1235	916552	566541
1236	917308	565809
1237	918134	565119
1238	918975	564439
1239	919728	563704
1240	920559	563017
1241	921363	562313
1242	922181	561618
1243	922918	560873
1244	923762	560193
1245	924613	559517
1246	925364	558780
1247	926218	558106
1248	927051	557418
1249	927852	556711
1250	928586	555964
1251	929356	555238
1252	930117	554507
1253	930893	553785
1254	931689	553074
1255	932400	552313
1256	933205	551608
1257	933969	550878
1258	934810	550194
1259	935539	549443
1260	936358	548745
1261	937150	548032
1262	937981	547341
1263	938765	546622
1264	939556	545908
1265	940183	545098
1266	941042	544423
1267	941890	543741
1268	942706	543040
1269	943503	542328
1270	944347	541643
1271	945216	540972
1272	946024	540266
1273	946804	539544
1274	947614	538839
1275	948430	538137
1276	949151	537381
1277	949976	536684
1278	950773	535971
1279	951640	535297
1280	952458	534596
1281	953293	533904
1282	954135	533215
1283	954973	532524
1284	955819	531837
1285	956667	531151
1286	957489	530450
1287	958255	529719
1288	959253	529114
1289	960135	528446
1290	960954	527743
1291	961726	527014
1292	962605	526343
1293	963509	525686
1294	964507	525079
1295	965358	524392
1296	966297	523752
1297	967188	523086
1298	968084	522422
1299	968823	521674
1300	969654	520974
1301	970416	520238
1302	971234	519532
1303	972080	518840
1304	972779	518070
1305	973650	517391
1306	974496	516699
1307	975273	515970
1308	976045	515238
1309	976856	514527
1310	977678	513821
1311	978415	513071
1312	979261	512378
1313	980069	511664
1314	980922	510975
1315	981753	510272
1316	982553	509554
1317	983372	508846
1318	984137	508110
1319	984951	507399
1320	985797	506704
1321	986527	505949
1322	987342	505238
1323	988194	504546
